ID;Nombre;Proveedor;LeadTime;Precio
48;Termo Ultra V2;Comercializadora Omega;20;36.81
49;Zapatillas Portátil V2;TechDistribuidora S.A.;14;73.88
50;Teclado Plus Red;Global Imports Corp;5;78.34
51;Monitor Inalámbrico Silver;Alimentos y Logística del Sur;15;320.32
52;Gorra Modern Azul;Global Imports Corp;5;16.91
53;Termo Plus Z3;MegaAbasto Co.;25;37.83
54;Termo Portátil Gris;MegaAbasto Co.;25;30.79
55;Monitor Advanced Azul;Alimentos y Logística del Sur;15;185.31
56;Chaqueta Basic Red;Hogar y Confort Ltda.;12;145.94
57;Mouse Plus X1;TechDistribuidora S.A.;14;61.05
58;Camiseta Eco Blanco;Textiles del Norte;10;18.89
59;Licuadora Modern Azul;TechDistribuidora S.A.;14;76.24
60;Cargador Vintage Z3;Hogar y Confort Ltda.;12;34.43
61;Mochila Modern Red;Soluciones Tecnológicas Nova;8;29.96
62;Licuadora Premium Z3;MegaAbasto Co.;25;39.3
63;Teclado Ultra Blanco;Textiles del Norte;10;81.01
64;Lámpara Portátil X1;Global Imports Corp;5;61.66
65;Gorra Smart X1;Comercializadora Omega;20;27.47
66;Lámpara Ultra Z3;Textiles del Norte;10;78.37
67;Mochila Premium Blanco;Hogar y Confort Ltda.;12;29.75
68;Lámpara Plus V2;Comercializadora Omega;20;60.16
69;Reloj Pro Gris;Suministros Industriales Alfa;7;85.87
70;Gorra Modern Red;Soluciones Tecnológicas Nova;8;17.04
71;Silla Plus X1;TechDistribuidora S.A.;14;127.94
72;Camiseta Portátil Red;Suministros Industriales Alfa;7;33.22
73;Auriculares Ultra V2;Global Imports Corp;5;62.75
74;Licuadora Basic V2;Textiles del Norte;10;69.77
75;Mouse Modern Gris;Textiles del Norte;10;20.51
76;Mouse Max Gris;Distribución Express;3;25.83
77;Reloj Inalámbrico Gris;Distribución Express;3;93.59
78;Auriculares Eco Gris;Distribución Express;3;133.31
79;Termo Smart Silver;Alimentos y Logística del Sur;15;36.33
80;Cafetera Eco Z3;MegaAbasto Co.;25;146.86
81;Monitor Vintage Silver;TechDistribuidora S.A.;14;410.94
82;Laptop Vintage Silver;Global Imports Corp;5;1574.93
83;Cargador Eco Negro;Suministros Industriales Alfa;7;26.38
84;Chaqueta Basic X1;TechDistribuidora S.A.;14;123.18
85;Cargador Max V2;TechDistribuidora S.A.;14;25.48
86;Televisor Vintage Gold;TechDistribuidora S.A.;14;421.19
87;Gorra Ergonómico Azul;Hogar y Confort Ltda.;12;22.78
88;Monitor Max Azul;Textiles del Norte;10;320.35
89;Camiseta Modern X1;Suministros Industriales Alfa;7;16.55
90;Mouse Ultra Z3;MegaAbasto Co.;25;51.94
91;Mochila Basic Gris;Suministros Industriales Alfa;7;38.22
92;Termo Pro Z3;Suministros Industriales Alfa;7;39.42
93;Monitor Smart Gold;Hogar y Confort Ltda.;12;241.57
94;Mesa Smart V2;Textiles del Norte;10;354.93
95;Televisor Portátil Red;Hogar y Confort Ltda.;12;538.91
96;Auriculares Max Negro;Suministros Industriales Alfa;7;33.1
97;Chaqueta Inalámbrico X1;TechDistribuidora S.A.;14;113.89
98;Camiseta Ergonómico V2;TechDistribuidora S.A.;14;31.76
99;Laptop Smart Azul;Comercializadora Omega;20;1298.65
100;Cafetera Ergonómico Gold;TechDistribuidora S.A.;14;31.77
101;Zapatillas Pro Negro;MegaAbasto Co.;25;48.54
102;Silla Modern Silver;Distribución Express;3;88.18
103;Mochila Eco Blanco;Hogar y Confort Ltda.;12;25.44
104;Monitor Plus Silver;Distribución Express;3;412.72
105;Mochila Inalámbrico X1;Suministros Industriales Alfa;7;54.12
106;Laptop Modern Negro;Soluciones Tecnológicas Nova;8;1983.21
107;Licuadora Ultra Azul;TechDistribuidora S.A.;14;84.38
108;Chaqueta Max Azul;Hogar y Confort Ltda.;12;85.9
109;Mesa Vintage Negro;Distribución Express;3;346.15
110;Smartphone Ultra Silver;Soluciones Tecnológicas Nova;8;865.07
111;Laptop Premium V2;Global Imports Corp;5;1430.54
112;Monitor Pro Gold;Distribución Express;3;224.62
113;Silla Portátil X1;Suministros Industriales Alfa;7;225.22
114;Reloj Inalámbrico Gold;Alimentos y Logística del Sur;15;194.85
115;Reloj Advanced Negro;Suministros Industriales Alfa;7;187.74
116;Televisor Pro Blanco;Global Imports Corp;5;891.52
117;Monitor Modern Silver;Distribución Express;3;264.43
118;Licuadora Plus Gold;Hogar y Confort Ltda.;12;83.94
119;Gorra Modern Gris;Textiles del Norte;10;26.5
120;Chaqueta Vintage V2;Suministros Industriales Alfa;7;60.85
121;Cafetera Vintage Red;Comercializadora Omega;20;113.33
122;Auriculares Premium Negro;MegaAbasto Co.;25;110.24
123;Lámpara Ergonómico Silver;Soluciones Tecnológicas Nova;8;67.56
124;Televisor Pro Red;Comercializadora Omega;20;694.87
125;Monitor Smart Negro;Global Imports Corp;5;257.5
126;Termo Portátil Red;Soluciones Tecnológicas Nova;8;22.63
127;Laptop Ergonómico Z3;Distribución Express;3;1388.49
128;Mesa Premium Z3;Hogar y Confort Ltda.;12;220.16
129;Mochila Advanced Blanco;Comercializadora Omega;20;38.83
130;Smartphone Advanced Red;MegaAbasto Co.;25;750.7
131;Cafetera Modern Azul;Comercializadora Omega;20;180.91
132;Lámpara Vintage Negro;Alimentos y Logística del Sur;15;77.36
133;Smartphone Max Red;MegaAbasto Co.;25;1142.03
134;Gorra Advanced Silver;Suministros Industriales Alfa;7;23.73
135;Monitor Inalámbrico V2;Textiles del Norte;10;372.32
136;Mouse Vintage Gris;Suministros Industriales Alfa;7;44.28
137;Cafetera Ergonómico Blanco;Distribución Express;3;168.73
138;Mesa Vintage Gris;Comercializadora Omega;20;307.95
139;Televisor Inalámbrico V2;Hogar y Confort Ltda.;12;582.68
140;Reloj Portátil Z3;Comercializadora Omega;20;143.14
141;Mouse Basic Silver;Hogar y Confort Ltda.;12;63.48
142;Mouse Eco Gris;Suministros Industriales Alfa;7;67.67
143;Televisor Basic Z3;Textiles del Norte;10;735.64
144;Silla Max Z3;Soluciones Tecnológicas Nova;8;127.4
145;Mouse Premium Silver;Hogar y Confort Ltda.;12;29.67
146;Reloj Modern Negro;Comercializadora Omega;20;129.03
147;Mouse Inalámbrico Red;MegaAbasto Co.;25;57.24
148;Televisor Max Gris;Alimentos y Logística del Sur;15;881.85
149;Reloj Inalámbrico Azul;Hogar y Confort Ltda.;12;109.33
150;Silla Eco Gold;Alimentos y Logística del Sur;15;200.66
151;Cargador Inalámbrico Red;Hogar y Confort Ltda.;12;21.84
152;Silla Max Silver;Comercializadora Omega;20;198.49
153;Reloj Max Negro;MegaAbasto Co.;25;120.87
154;Camiseta Smart Blanco;TechDistribuidora S.A.;14;25.62
155;Teclado Ergonómico Gold;Global Imports Corp;5;26.34
156;Lámpara Portátil Z3;MegaAbasto Co.;25;30.71
157;Reloj Portátil V2;Textiles del Norte;10;137.45
158;Televisor Portátil X1;Global Imports Corp;5;619.67
159;Termo Premium V2;Distribución Express;3;27.13
160;Monitor Inalámbrico Z3;Suministros Industriales Alfa;7;394.61
161;Cargador Advanced Z3;TechDistribuidora S.A.;14;33.45
162;Mesa Ergonómico Blanco;Soluciones Tecnológicas Nova;8;209.88
163;Gorra Plus Gris;Textiles del Norte;10;27.83
164;Cafetera Ultra Blanco;Comercializadora Omega;20;108.53
165;Cargador Max Red;Alimentos y Logística del Sur;15;12.72
166;Smartphone Smart Red;Suministros Industriales Alfa;7;650.9
167;Termo Pro Silver;Textiles del Norte;10;34.27
168;Termo Ergonómico Negro;Global Imports Corp;5;20.07
169;Teclado Ultra Silver;Alimentos y Logística del Sur;15;75.52
170;Termo Vintage V2;MegaAbasto Co.;25;14.35
171;Camiseta Vintage Gris;Textiles del Norte;10;18.8
172;Zapatillas Ultra Negro;Suministros Industriales Alfa;7;41.18
173;Smartphone Portátil Silver;Soluciones Tecnológicas Nova;8;647.12
174;Auriculares Advanced X1;Textiles del Norte;10;107.25
175;Teclado Ultra Azul;Suministros Industriales Alfa;7;71.47
176;Cafetera Ultra V2;Comercializadora Omega;20;174.14
177;Lámpara Advanced X1;Suministros Industriales Alfa;7;54.4
178;Mouse Premium Silver;Suministros Industriales Alfa;7;54.45
179;Reloj Premium Silver;Distribución Express;3;56.39
180;Mochila Premium V2;Comercializadora Omega;20;21.91
181;Cafetera Portátil Gris;TechDistribuidora S.A.;14;32.51
182;Cafetera Vintage Negro;Textiles del Norte;10;91.23
183;Chaqueta Modern Azul;Hogar y Confort Ltda.;12;82.36
184;Monitor Pro Azul;MegaAbasto Co.;25;200.75
185;Mochila Pro Red;Soluciones Tecnológicas Nova;8;46.59
186;Camiseta Ultra Red;Hogar y Confort Ltda.;12;39.27
187;Chaqueta Modern X1;TechDistribuidora S.A.;14;47.35
188;Mesa Basic Silver;Alimentos y Logística del Sur;15;247.19
189;Silla Smart Silver;TechDistribuidora S.A.;14;112.96
190;Termo Eco Blanco;Hogar y Confort Ltda.;12;17.22
191;Mesa Eco Blanco;Global Imports Corp;5;167.21
192;Termo Plus Red;Global Imports Corp;5;12.62
193;Monitor Max V2;Global Imports Corp;5;416.12
194;Gorra Basic Red;Alimentos y Logística del Sur;15;15.41
195;Lámpara Basic Negro;Soluciones Tecnológicas Nova;8;23.07
196;Mochila Modern Red;Soluciones Tecnológicas Nova;8;25.17
197;Cargador Portátil Azul;Textiles del Norte;10;18.11
198;Teclado Pro Z3;MegaAbasto Co.;25;31.43
199;Mouse Max Red;Soluciones Tecnológicas Nova;8;37.7
200;Lámpara Pro Z3;Global Imports Corp;5;44.39
201;Camiseta Max Gris;Alimentos y Logística del Sur;15;35.65
202;Mouse Vintage Negro;Global Imports Corp;5;11.07
203;Gorra Portátil Z3;Distribución Express;3;18.61
204;Cargador Ergonómico Gris;MegaAbasto Co.;25;10.66
205;Mochila Smart Z3;Alimentos y Logística del Sur;15;28.43
206;Licuadora Modern Blanco;Suministros Industriales Alfa;7;101.9
207;Zapatillas Advanced Red;Suministros Industriales Alfa;7;107.22
208;Lámpara Pro Negro;MegaAbasto Co.;25;27.77
209;Lámpara Plus Azul;Comercializadora Omega;20;26.8
210;Smartphone Advanced X1;MegaAbasto Co.;25;662.54
211;Mouse Portátil Red;Suministros Industriales Alfa;7;62.24
212;Teclado Eco Blanco;Global Imports Corp;5;57.4
213;Laptop Premium Blanco;Soluciones Tecnológicas Nova;8;1841.75
214;Gorra Ergonómico Silver;Textiles del Norte;10;19.71
215;Chaqueta Vintage V2;Comercializadora Omega;20;89.94
216;Televisor Smart X1;Distribución Express;3;298.56
217;Smartphone Modern Negro;Global Imports Corp;5;391.4
218;Silla Ultra X1;Global Imports Corp;5;208.05
219;Televisor Pro X1;Alimentos y Logística del Sur;15;548.21
220;Monitor Smart Blanco;Hogar y Confort Ltda.;12;419.54
221;Termo Portátil Silver;Soluciones Tecnológicas Nova;8;22.42
222;Licuadora Plus Azul;Hogar y Confort Ltda.;12;102.37
223;Cargador Pro Blanco;Hogar y Confort Ltda.;12;19.75
224;Teclado Eco V2;Suministros Industriales Alfa;7;17.95
225;Chaqueta Modern V2;Suministros Industriales Alfa;7;109.89
226;Mesa Plus Gris;Suministros Industriales Alfa;7;269.25
227;Cargador Eco Negro;Comercializadora Omega;20;10.67
228;Smartphone Pro Azul;Alimentos y Logística del Sur;15;979.8
229;Mesa Ergonómico Blanco;Global Imports Corp;5;117.03
230;Licuadora Eco V2;Hogar y Confort Ltda.;12;44.55
231;Cargador Portátil Gris;Textiles del Norte;10;12.91
232;Lámpara Eco Blanco;Suministros Industriales Alfa;7;53.25
233;Silla Plus X1;Hogar y Confort Ltda.;12;248.88
234;Monitor Plus Gris;TechDistribuidora S.A.;14;261.15
235;Auriculares Ultra Gris;Global Imports Corp;5;85.81
236;Cargador Smart Silver;Suministros Industriales Alfa;7;28.76
237;Reloj Eco Azul;Suministros Industriales Alfa;7;280.74
238;Mesa Pro X1;Suministros Industriales Alfa;7;204.93
239;Monitor Vintage Azul;Suministros Industriales Alfa;7;248.13
240;Cafetera Ultra Red;Comercializadora Omega;20;189.18
241;Termo Pro V2;Comercializadora Omega;20;11.59
242;Cafetera Pro X1;Hogar y Confort Ltda.;12;125.79
243;Gorra Smart Red;Textiles del Norte;10;18.75
244;Laptop Modern Z3;Distribución Express;3;1193.21
245;Licuadora Advanced Silver;Soluciones Tecnológicas Nova;8;82.6
246;Mouse Premium Gold;Global Imports Corp;5;41.14
247;Cafetera Ergonómico Gris;MegaAbasto Co.;25;180.52
248;Cafetera Plus Azul;TechDistribuidora S.A.;14;45.27
249;Mouse Ultra Red;Hogar y Confort Ltda.;12;30.95
250;Mouse Basic Azul;Textiles del Norte;10;55.8
251;Cargador Max Azul;Soluciones Tecnológicas Nova;8;27.42
252;Zapatillas Eco Silver;Textiles del Norte;10;82.17
253;Mesa Modern Gris;Soluciones Tecnológicas Nova;8;281.79
254;Mouse Ergonómico Azul;Textiles del Norte;10;20.94
255;Monitor Basic Azul;TechDistribuidora S.A.;14;291.32
256;Mochila Premium Silver;Textiles del Norte;10;31.76
257;Silla Pro V2;Textiles del Norte;10;200.21
258;Cafetera Eco Silver;Alimentos y Logística del Sur;15;141.01
259;Televisor Plus Red;Distribución Express;3;862.82
260;Teclado Basic Gris;MegaAbasto Co.;25;69.21
261;Monitor Vintage Gold;MegaAbasto Co.;25;243.46
262;Monitor Ergonómico Silver;Alimentos y Logística del Sur;15;235.02
263;Teclado Plus V2;Global Imports Corp;5;84.52
264;Reloj Pro Z3;Distribución Express;3;263.86
265;Monitor Basic Silver;Soluciones Tecnológicas Nova;8;365.85
266;Licuadora Advanced Silver;Distribución Express;3;94.93
267;Reloj Premium Gris;Textiles del Norte;10;62.44
268;Cargador Pro Red;MegaAbasto Co.;25;14.26
269;Gorra Plus X1;Hogar y Confort Ltda.;12;12.94
270;Termo Ultra X1;Global Imports Corp;5;19.14
271;Mesa Premium Red;Suministros Industriales Alfa;7;392.43
272;Reloj Plus Red;TechDistribuidora S.A.;14;63.79
273;Mesa Smart X1;Alimentos y Logística del Sur;15;248.5
274;Mouse Premium X1;Distribución Express;3;20.31
275;Mochila Vintage Red;Distribución Express;3;47.71
276;Camiseta Eco Gold;Alimentos y Logística del Sur;15;31.03
277;Mochila Portátil Silver;Global Imports Corp;5;72.38
278;Mouse Inalámbrico Gold;Textiles del Norte;10;39.87
279;Auriculares Premium V2;MegaAbasto Co.;25;143.18
280;Gorra Ergonómico V2;Hogar y Confort Ltda.;12;16.04
281;Mesa Advanced V2;Distribución Express;3;365.8
282;Reloj Inalámbrico Gold;Soluciones Tecnológicas Nova;8;77.64
283;Camiseta Inalámbrico Silver;Distribución Express;3;40.44
284;Termo Advanced Silver;Comercializadora Omega;20;19.02
285;Mesa Inalámbrico Blanco;Hogar y Confort Ltda.;12;145.83
286;Mouse Max Gold;MegaAbasto Co.;25;42.84
287;Mochila Advanced Red;TechDistribuidora S.A.;14;59.38
288;Teclado Smart Red;Alimentos y Logística del Sur;15;54.64
289;Televisor Modern Azul;Comercializadora Omega;20;351.9
290;Laptop Smart Negro;MegaAbasto Co.;25;1117.52
291;Mesa Inalámbrico Gold;Distribución Express;3;174.97
292;Gorra Vintage Blanco;Alimentos y Logística del Sur;15;17.52
293;Licuadora Modern Negro;Soluciones Tecnológicas Nova;8;97.94
294;Chaqueta Ergonómico Negro;Soluciones Tecnológicas Nova;8;131.81
295;Teclado Smart X1;Comercializadora Omega;20;67.64
296;Gorra Advanced Negro;Textiles del Norte;10;26.58
297;Mochila Ultra Blanco;Comercializadora Omega;20;65.2
298;Cafetera Plus Gold;Hogar y Confort Ltda.;12;51.26
299;Cafetera Ultra Gris;Suministros Industriales Alfa;7;154.42
300;Teclado Premium Red;Distribución Express;3;49.64
301;Teclado Basic X1;TechDistribuidora S.A.;14;70.43
302;Mesa Pro Z3;Distribución Express;3;250.94
303;Chaqueta Ergonómico Blanco;TechDistribuidora S.A.;14;126.12
304;Camiseta Inalámbrico Red;Textiles del Norte;10;42.19
305;Smartphone Basic Red;Hogar y Confort Ltda.;12;1054.82
306;Auriculares Advanced X1;TechDistribuidora S.A.;14;138.1
307;Chaqueta Eco Azul;Distribución Express;3;38.17
308;Televisor Basic Red;TechDistribuidora S.A.;14;548.23
309;Mochila Ergonómico Silver;Distribución Express;3;79.08
310;Silla Eco Negro;Textiles del Norte;10;124.32
311;Mesa Ergonómico Gris;Alimentos y Logística del Sur;15;378.21
312;Mochila Plus Silver;Suministros Industriales Alfa;7;24.49
313;Smartphone Smart Gold;Soluciones Tecnológicas Nova;8;775.74
314;Cafetera Advanced Gold;Hogar y Confort Ltda.;12;188.21
315;Cargador Portátil Gris;MegaAbasto Co.;25;17.16
316;Termo Portátil Gris;TechDistribuidora S.A.;14;36.58
317;Mesa Ergonómico Silver;TechDistribuidora S.A.;14;323.38
318;Mochila Pro Blanco;MegaAbasto Co.;25;36.84
319;Smartphone Ergonómico Silver;Alimentos y Logística del Sur;15;1171.51
320;Licuadora Ultra Blanco;Textiles del Norte;10;86.3
321;Chaqueta Smart Gold;Suministros Industriales Alfa;7;167.37
322;Cafetera Vintage Gold;Suministros Industriales Alfa;7;133.89
323;Mouse Modern Red;TechDistribuidora S.A.;14;66.17
324;Reloj Ergonómico V2;Soluciones Tecnológicas Nova;8;253.27
325;Termo Plus Negro;TechDistribuidora S.A.;14;35.61
326;Mouse Vintage Gris;Comercializadora Omega;20;25.98
327;Smartphone Max Z3;Distribución Express;3;427.98
328;Zapatillas Max Silver;Hogar y Confort Ltda.;12;139.54
329;Zapatillas Modern Azul;Soluciones Tecnológicas Nova;8;127.83
330;Mesa Basic X1;MegaAbasto Co.;25;160.36
331;Termo Basic Z3;Suministros Industriales Alfa;7;11.38
332;Auriculares Pro Negro;Alimentos y Logística del Sur;15;121.7
333;Reloj Ultra Gold;TechDistribuidora S.A.;14;92.77
334;Monitor Max V2;MegaAbasto Co.;25;426.67
335;Laptop Eco Blanco;Comercializadora Omega;20;1851.48
336;Cafetera Vintage Negro;Alimentos y Logística del Sur;15;164.09
337;Monitor Modern Gold;Comercializadora Omega;20;186.41
338;Televisor Smart Z3;Global Imports Corp;5;435.73
339;Auriculares Inalámbrico Gris;Comercializadora Omega;20;75.26
340;Mesa Pro Z3;Hogar y Confort Ltda.;12;191.3
341;Mochila Max Blanco;Distribución Express;3;47.32
342;Teclado Vintage Red;Soluciones Tecnológicas Nova;8;68.51
343;Termo Vintage Z3;Textiles del Norte;10;38.79
344;Mesa Ultra Azul;Textiles del Norte;10;356.79
345;Zapatillas Eco Gris;Comercializadora Omega;20;82.76
346;Chaqueta Vintage V2;Suministros Industriales Alfa;7;88.51
347;Laptop Vintage Gold;Comercializadora Omega;20;854.51
348;Termo Modern Red;Suministros Industriales Alfa;7;16.27
349;Smartphone Smart Gris;TechDistribuidora S.A.;14;1056.46
350;Cargador Ultra Z3;Alimentos y Logística del Sur;15;23.23
351;Mesa Modern Azul;Global Imports Corp;5;347.01
352;Silla Portátil Gold;Comercializadora Omega;20;240.01
353;Mesa Smart Z3;Distribución Express;3;113.46
354;Mesa Max Gris;Distribución Express;3;191.19
355;Silla Max Silver;Suministros Industriales Alfa;7;243.54
356;Smartphone Pro Azul;Alimentos y Logística del Sur;15;840.04
357;Smartphone Advanced Z3;TechDistribuidora S.A.;14;1042.77
358;Gorra Pro X1;Comercializadora Omega;20;16.59
359;Laptop Premium Azul;Suministros Industriales Alfa;7;1067.84
360;Smartphone Ergonómico X1;Textiles del Norte;10;876.92
361;Televisor Modern Gold;Suministros Industriales Alfa;7;397.82
362;Chaqueta Portátil Negro;Textiles del Norte;10;50.46
363;Camiseta Modern Red;Hogar y Confort Ltda.;12;48.91
364;Licuadora Ergonómico Azul;Textiles del Norte;10;100.82
365;Zapatillas Vintage Z3;TechDistribuidora S.A.;14;131.94
366;Zapatillas Max Azul;Hogar y Confort Ltda.;12;117.44
367;Cafetera Ergonómico Negro;Alimentos y Logística del Sur;15;50.79
368;Mochila Max Red;Alimentos y Logística del Sur;15;50.23
369;Auriculares Inalámbrico Gris;TechDistribuidora S.A.;14;39.78
370;Gorra Pro Gris;Suministros Industriales Alfa;7;25.14
371;Zapatillas Basic Azul;Suministros Industriales Alfa;7;58.9
372;Cargador Max Red;Hogar y Confort Ltda.;12;27.5
373;Gorra Advanced Z3;Soluciones Tecnológicas Nova;8;13.61
374;Licuadora Premium Negro;Alimentos y Logística del Sur;15;66.88
375;Lámpara Basic Red;Textiles del Norte;10;63.66
376;Cafetera Eco Blanco;TechDistribuidora S.A.;14;99.55
377;Laptop Inalámbrico Gold;Hogar y Confort Ltda.;12;739.57
378;Camiseta Smart Gris;Alimentos y Logística del Sur;15;25.37
379;Reloj Plus V2;Hogar y Confort Ltda.;12;188.34
380;Chaqueta Plus X1;Comercializadora Omega;20;109.57
381;Zapatillas Max Blanco;Comercializadora Omega;20;69.51
382;Silla Advanced Z3;MegaAbasto Co.;25;215.68
383;Teclado Modern X1;TechDistribuidora S.A.;14;28.91
384;Mouse Premium Silver;Global Imports Corp;5;47.68
385;Televisor Basic V2;Global Imports Corp;5;723.8
386;Mesa Inalámbrico Gris;Alimentos y Logística del Sur;15;392.19
387;Monitor Basic V2;Global Imports Corp;5;441.54
388;Auriculares Ergonómico X1;Suministros Industriales Alfa;7;114.77
389;Auriculares Pro Red;Soluciones Tecnológicas Nova;8;21.81
390;Zapatillas Basic X1;TechDistribuidora S.A.;14;114.86
391;Mesa Premium Z3;Comercializadora Omega;20;268.11
392;Mouse Portátil Negro;TechDistribuidora S.A.;14;17.09
393;Televisor Inalámbrico V2;Hogar y Confort Ltda.;12;721.3
394;Reloj Pro Azul;Soluciones Tecnológicas Nova;8;125.89
395;Laptop Basic Negro;Hogar y Confort Ltda.;12;1978.74
396;Televisor Plus Negro;Global Imports Corp;5;770.81
397;Cargador Pro X1;Comercializadora Omega;20;31.52
398;Mesa Eco V2;TechDistribuidora S.A.;14;282.71
399;Gorra Ultra Gold;MegaAbasto Co.;25;17.35
400;Televisor Ultra Blanco;Soluciones Tecnológicas Nova;8;296.77
401;Licuadora Modern Blanco;Global Imports Corp;5;112.01
402;Zapatillas Portátil X1;Suministros Industriales Alfa;7;104.49
403;Reloj Plus Gris;Soluciones Tecnológicas Nova;8;241.36
404;Laptop Premium X1;Soluciones Tecnológicas Nova;8;1416.99
405;Smartphone Ergonómico Blanco;Soluciones Tecnológicas Nova;8;1088.44
406;Auriculares Ultra Gold;MegaAbasto Co.;25;140.31
407;Mesa Max Red;Hogar y Confort Ltda.;12;179.91
408;Licuadora Advanced Negro;Textiles del Norte;10;107.26
409;Teclado Portátil Z3;Distribución Express;3;85.12
410;Chaqueta Plus Negro;Alimentos y Logística del Sur;15;124.26
411;Lámpara Premium V2;Comercializadora Omega;20;51.94
412;Cargador Eco X1;MegaAbasto Co.;25;24.97
413;Televisor Portátil Silver;Textiles del Norte;10;284.78
414;Cafetera Plus Azul;Alimentos y Logística del Sur;15;183.36
415;Reloj Smart Gold;Textiles del Norte;10;54.92
416;Lámpara Ultra V2;Hogar y Confort Ltda.;12;76.87
417;Cargador Basic Gold;Suministros Industriales Alfa;7;34.91
418;Lámpara Ultra Gold;Hogar y Confort Ltda.;12;72.1
419;Termo Modern V2;Global Imports Corp;5;25.03
420;Licuadora Portátil Blanco;Suministros Industriales Alfa;7;57.43
421;Televisor Premium Azul;Alimentos y Logística del Sur;15;392.67
422;Smartphone Inalámbrico X1;Distribución Express;3;825.63
423;Gorra Portátil Z3;Distribución Express;3;23.6
424;Mochila Portátil Z3;TechDistribuidora S.A.;14;78.39
425;Camiseta Inalámbrico Gris;Distribución Express;3;20.65
426;Auriculares Plus Silver;Suministros Industriales Alfa;7;50.93
427;Lámpara Eco Gris;TechDistribuidora S.A.;14;53.57
428;Mesa Inalámbrico X1;Suministros Industriales Alfa;7;373.93
429;Monitor Vintage Blanco;Distribución Express;3;171.86
430;Televisor Premium Red;Distribución Express;3;350.72
431;Auriculares Smart Z3;Global Imports Corp;5;21.6
432;Silla Portátil Gris;Distribución Express;3;197.25
433;Zapatillas Modern Negro;Textiles del Norte;10;116.48
434;Termo Eco Gris;Textiles del Norte;10;24.31
435;Teclado Premium Negro;Hogar y Confort Ltda.;12;43.43
436;Lámpara Premium Gold;Distribución Express;3;29.65
437;Cafetera Smart Negro;Soluciones Tecnológicas Nova;8;179.86
438;Laptop Modern Red;Soluciones Tecnológicas Nova;8;695.39
439;Gorra Plus Silver;Alimentos y Logística del Sur;15;13.0
440;Mochila Vintage Azul;Global Imports Corp;5;65.72
441;Televisor Premium Blanco;MegaAbasto Co.;25;870.22
442;Televisor Ergonómico Negro;Comercializadora Omega;20;325.25
443;Camiseta Vintage Gold;Alimentos y Logística del Sur;15;18.82
